# x,y,Size
2.857142857142857206e+00 1.020833333333333259e+00 1.390793503487511018e-01
4.125000000000000000e+00 6.062992125984252301e-01 1.871819919326500881e-01
3.695652173913043459e+00 6.720000000000000417e-01 1.604449259323140475e-01
3.000000000000000000e+00 8.633093525179855732e-01 1.948235211147823498e-01
4.347826086956521507e+00 8.976377952755905110e-01 1.834757922360158722e-01
2.437500000000000000e+00 8.529411764705882026e-01 1.795371793988638220e-01
2.397435897435897356e+00 8.244274809160305750e-01 1.795371793988638220e-01
2.302325581395348930e+00 7.432432432432432012e-01 2.028104422156268294e-01
2.776315789473684070e+00 6.751592356687897700e-01 1.948235211147823498e-01
2.288659793814432852e+00 7.874999999999999778e-01 2.171861213815346747e-01
2.529411764705882248e+00 7.628205128205127750e-01 2.019908756567188601e-01
2.354838709677419484e+00 7.515527950310558758e-01 1.989803283897378372e-01
2.000000000000000000e+00 7.272727272727272929e-01 2.351054369298771207e-01
2.068181818181818343e+00 7.196261682242990343e-01 2.186606960566987445e-01
1.839080459770114917e+00 6.272401433691756623e-01 2.524360640406781986e-01
2.000000000000000000e+00 6.363636363636363535e-01 2.219448078831705584e-01
1.856115107913669071e+00 6.948356807511737454e-01 2.143500546907929905e-01
3.213114754098360670e+00 1.090090090090090058e+00 1.826099952275415383e-01
1.843478260869565233e+00 7.757575757575757569e-01 1.902605976617976202e-01
3.290909090909091006e+00 1.163265306122448939e+00 1.790962637748571284e-01
3.125000000000000000e+00 1.016806722689075571e+00 1.847422334842915848e-01
3.808510638297872397e+00 9.090909090909090606e-01 1.637494431324362232e-01
2.619047619047619069e+00 8.909090909090908728e-01 1.605829350497737229e-01
5.592592592592592560e+00 1.492537313432835910e+00 1.448796017729928332e-01
3.822222222222222410e+00 8.636363636363636465e-01 1.674206632500891412e-01
5.428571428571428825e+00 1.297297297297297369e+00 1.478061608007300853e-01
7.421052631578947789e+00 1.025974025974025983e+00 1.234191737940877470e-01
4.611111111111110716e+00 1.010526315789473717e+00 1.636859035488702485e-01
6.434782608695652328e+00 1.333333333333333259e+00 1.474722037613605541e-01
2.886792452830188704e+00 8.543689320388349051e-01 1.470804305855285543e-01
2.120481927710843539e+00 9.747899159663865332e-01 1.916629694999819611e-01
